account,date,trades_count,gross_pnl,avg_pnl,sentiment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-06-12,33,-175611.00005600002,-5321.545456242425,75.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,177,0.0,0.0,100.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,68,0.0,0.0,100.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,40,0.0,0.0,100.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,12,-21227.0,-1768.9166666666667,100.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,27,1603.1,59.37407407407407,100.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,82,-132271.0,-1613.060975609756,100.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,23,0.0,0.0,100.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-03,45,9482.221441,210.7160320222222,75.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,465,71393.964098,153.53540666236557,100.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,51,40218.599998,788.5999999607843,100.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,10,76710.0,7671.0,75.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,59,10152.12224,172.06986847457628,50.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,219,115445.395538,527.1479248310502,25.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,55,115287.0,2096.1272727272726,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-02,839,101011.685664,120.39533452205006,25.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,641,533974.662903,833.0337954804993,25.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,5,40200.0,8040.0,50.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-02,531,375620.270243,707.3828064839925,25.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-05-02,210,44400.9058,211.43288476190477,75.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-09-02,141,30897.0887,219.12828865248227,75.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-10-02,48,55086.0,1147.625,75.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-11-02,6,0.0,0.0,75.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-12-04,31,307855.80341,9930.832368064515,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-01-12,1,0.0,0.0,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-06-12,34,0.0,0.0,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-07-12,26,3515.031065,135.1935025,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-09-12,46,0.0,0.0,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-12,64,2517.787385,39.340427890625,50.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,55,11715.94323,213.01714963636365,100.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,59,1613.165903,27.341794966101695,100.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,1,0.0,0.0,100.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,34,1245.51851,36.63289735294118,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-02,78,1162.002541,14.897468474358975,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-05,250,1243.853569,4.975414276,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,13,0.0,0.0,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,17,4493.232479,264.30779288235294,100.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,39,1047.030992,26.84694851282051,100.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,124,4842.054317,39.04882513709678,100.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,339,1693.493165,4.99555505899705,100.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,54,4221.156399,78.16956294444445,100.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,44,0.0,0.0,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,56,6899.2458320000005,123.20081842857144,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,46,0.0,0.0,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,55,7372.485101,134.04518365454547,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,517,6352.452613,12.28714238491296,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,160,1129.8489260000001,7.061555787500001,50.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,1,-6820.76955,-6820.76955,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,52,0.0,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,110,2480.902379,22.55365799090909,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,1,0.0,0.0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,27,-2315.377191,-85.75471077777777,50.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,42,0.0,0.0,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,97,-5018.466447,-51.73676749484536,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,155,716.143949,4.620283541935484,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,65,-3169.3554679999997,-48.759314892307685,25.0
